btp;desc
2300005696;KR OTOMATIS LLG-CIMB NIAGA MATAHARI PUTRA PRI 45423 202404151390 053991 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA ANUGRAH BERKAT AND 
2300003094;KR OTOMATIS LLG-CIMB NIAGA CAHAYA SAKTI 0000006905 A000137 16 032024 B H550 
2300000168;KR OTOMATIS LLG-CIMB NIAGA SARI RASA NUSANTAR 2024006641-5222464 786 
2300000925;KR OTOMATIS LLG-CIMB NIAGA PRIMA ISMAYA SEJAH BILL0011627173 BIL L0011627172 
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SUPRA BOGA LESTARI 20240415755959318
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PUJI SURYA INDAH GF 
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SYA FRESH ONE 
2300013695;KR OTOMATIS LLG-CIMB NIAGA KUDO TEKNOLOGI IND PG_TXN: 326377.000 00
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA ANUGRAH BERKAT AND
2300015447;KR OTOMATIS LLG-CIMB NIAGA KARTA MAS KENCANA 20240424115294198
2300005696;KR OTOMATIS LLG-CIMB NIAGA MATAHARI PUTRA PRI 45422 202404245130 37197
2300005696;KR OTOMATIS LLG-CIMB NIAGA MATAHARI PUTRA PRI 45423 202404245130 37197
2300000925;KR OTOMATIS LLG-CIMB NIAGA PRIMA ISMAYA SEJAH BILL0011693327 BIL L0011693326
2300000727;KR OTOMATIS LLG-CIMB NIAGA BAKTIABADI INTIMAK
2300016045;KR OTOMATIS LLG-CIMB NIAGA KREASI ANUGRAH PRO NV1222547907 Beli Stock Susu 1L 2024 042519872941
2300011546;KR OTOMATIS LLG-CIMB NIAGA THE FINANCIAL CLUB reenfields 2024042 9517965756
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SYA FRESH ONE pot promo mar 2024 10.229.500
2300013043;KR OTOMATIS LLG-CIMB NIAGA ELANG ANDALAN NUSA EAN-5671 INV: 5222 468842
2300000168;KR OTOMATIS LLG-CIMB NIAGA SARI RASA NUSANTAR 2024007903-5210037 030
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PUJI SURYA INDAH GF
2300000168;KR OTOMATIS LLG-CIMB NIAGA SARI RASA NUSANTAR 2024007244-5222468 688
2300014826;KR OTOMATIS LLG-CIMB NIAGA ARGHA KARYA PRIMA KWT/GDI-INDO/2024/ 03/918051
2300000925;KR OTOMATIS LLG-CIMB NIAGA PRIMA ISMAYA SEJAH BILL0011886112 BIL L0011886111
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PUJI SURYA INDAH GF
2300018398;KR OTOMATIS LLG-CIMB NIAGA SUMMARECON AGUNG T PEMBAYARAN KKG 03/ 05/2024
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA ANUGRAH BERKAT AND
2300015911;KR OTOMATIS LLG-CIMB NIAGA PT.UNITED MEDIA OR B2402-460-B 202405 051013777056
2300011741;KR OTOMATIS LLG-CIMB NIAGA PT.INDO KORDSA 012// 5222367823( 4686775) 202404301 122539678
2300013695;KR OTOMATIS LLG-CIMB NIAGA PT.KUDO TEKNOLOGI PG_TXN: 328344.000 00
2300016045;KR OTOMATIS LLG-CIMB NIAGA PT.KREASI ANUGRAH NV1210043135 Beli Stock Susu 1L 2024 050814166073
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.PUJI SURYA INDA GF
2300000168;KR OTOMATIS LLG-CIMB NIAGA CV.SARI RASA NUSAN 2024008569-5210044 227
2300005696;KR OTOMATIS LLG-CIMB NIAGA PT.MATAHARI PUTRA 45423 202405102261 7514 
2300005696;KR OTOMATIS LLG-CIMB NIAGA PT.MATAHARI PUTRA 45422 202405102261 7514 
2300000168;KR OTOMATIS LLG-CIMB NIAGA CV.SARI RASA NUSAN 2024007905-5222475 778 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.ANUGRAH BERKAT 
2300015911;KR OTOMATIS LLG-CIMB NIAGA PT.UNITED MEDIA OR B2402-653 20240508 45580401
2300015911;KR OTOMATIS LLG-CIMB NIAGA PT.UNITED MEDIA OR B2403-631 20240508 45580401
2300015911;KR OTOMATIS LLG-CIMB NIAGA PT.UNITED MEDIA OR B2403-308-B 202405 0845580401
2300013695;KR OTOMATIS LLG-CIMB NIAGA PT.KUDO TEKNOLOGI PG_TXN: 329299.000 00
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.ANUGRAH BERKAT
2300008197;KR OTOMATIS LLG-CIMB NIAGA PT.MENSANA ANEKA P AYMENT FROM AVENZE L HOTEL 2024051513 02085406
