btp;desc
2300005019;KR OTOMATIS LLG-MANDIRI SRIBOGA MARUGAME I TTF 127426 -0053061
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MAHADANA DASHA UTA VDRTHIRD
2300015689;KR OTOMATIS LLG-MANDIRI PT. PRATAMA SELERA 3. PT. Greenfil 3. Tag Grenfil 2 iv-0053061
2300004435;KR OTOMATIS LLG-MANDIRI AROMA HARUM LESTAR PT AROMA -0053061
MODERN TRADE;KR OTOMATIS LLG-MANDIRI LUCKY STRATEGIS GRANDLUCKY SCBD
MODERN TRADE;KR OTOMATIS LLG-MANDIRI LUCKY STRATEGIS GRANDLUCKY SCBD
2300007476;KR OTOMATIS LLG-MANDIRI RETNO PUJI LESTARI KOPI LUWAK
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA MILK N7121590 -0053061
2300015404;KR OTOMATIS LLG-MANDIRI SAKSI-SAKSI YEHUWA SSYI 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 15670-1 GY48055064-MT-1 .28 -0053061 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 28200-P GY48055065-MT-1 2.21-0053061 
2300016062;KR OTOMATIS LLG-MANDIRI CAHAYA INDAH ASIA -0053061777 Clearing900912
MODERN TRADE;KR OTOMATIS LLG-MANDIRI INDOMARCO PRISMATA IDM-HEAD OFFICE
2300003909;KR OTOMATIS LLG-MANDIRI NURTIRTA NUSA LEST
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY BERSAMA
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL MBA REG JKT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY BERSAMA
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL MBA REG JKT
2300005019;KR OTOMATIS LLG-MANDIRI SRIBOGA MARUGAME I TTF 126942 -0053061
2300006238;KR OTOMATIS LLG-MANDIRI MAHATI KARAWANG N7163747 BAI COFFE E
2300015404;KR OTOMATIS LLG-MANDIRI SAKSI-SAKSI YEHUWA SSYI
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 15672-P GY48055194-mt-1 .14 -0053061
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 15673-4-P GY48055181-MT-1 .8 -0053061
2300015135;KR OTOMATIS LLG-MANDIRI MENSA JAKARTA N7151720 -0053061
2300015404;KR OTOMATIS LLG-MANDIRI SAKSI-SAKSI YEHUWA SSYI
2300012084;KR OTOMATIS LLG-MANDIRI SMART FOOD CONCEPT -0053061777 Clearing107656
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA MILK N7144236 -0053061
2300016062;KR OTOMATIS LLG-MANDIRI CAHAYA INDAH ASIA -0053061777 Clearing837703
2300001305;KR OTOMATIS LLG-MANDIRI RAJA RASA ALAMI Beli FM 5222377552 T240129PB010 -0053061
2300001305;KR OTOMATIS LLG-MANDIRI RAJA RASA ALAMI Beli FM 5222366319 T240129PB009 -0053061
2300005019;KR OTOMATIS LLG-MANDIRI SRIBOGA MARUGAME I TTF 025791 -0053061
2300015126;KR OTOMATIS LLG-MANDIRI KEDAI KOPI DAN TEH PT. GREENFIELD DAI RY 
2300006238;KR OTOMATIS LLG-MANDIRI MAHATI KARAWANG N7195495 BAI COFFE E 
2300015404;KR OTOMATIS LLG-MANDIRI SAKSI-SAKSI YEHUWA SSYI
2300012044;KR OTOMATIS LLG-MANDIRI DIPURI SELARAS MEM Susu Green Fields -0053061
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 41751-P GY48055581-MT-1 .11 -0053061
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA N7163900 -0053061
;KR OTOMATIS LLG-MANDIRI NOVIYANTI cicil Greenfield
2300008929;KR OTOMATIS LLG-MANDIRI YUDHO WANDONO ANGG Belanja Freshmilk
2300015996;KR OTOMATIS LLG-MANDIRI CIPTA KIRANA WEHAR Order Greenfields 1 -0053061
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MAHADANA DASHA UTA VDRTHIRD
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY BERSAMA
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY BERSAMA
MODERN TRADE;KR OTOMATIS LLG-MANDIRI LUCKY STRATEGIS GRANDLUCKY SCBD
MODERN TRADE;KR OTOMATIS LLG-MANDIRI LUCKY STRATEGIS GRANDLUCKY SCBD
2300015404;KR OTOMATIS LLG-MANDIRI SAKSI-SAKSI YEHUWA SSYI
