account_name;accountCap
NAKOA CAFE;OTHER FOOD SERVICE
LOTUS;OTHER FOOD SERVICE
ALLO FRESH;ALLO FRESH
KOKUMI;OTHER FOOD SERVICE
BLI BLI;BLI BLI
PRIMA FRESHMART;PRIMA FRESHMART
CBTL;OTHER FOOD SERVICE
SHELL DELI2GO;OTHER FOOD SERVICE
CHEZ CHOUX;OTHER FOOD SERVICE
REDDOG;OTHER FOOD SERVICE
BEST MEAT;BEST MEAT
ANTHOLOGY COFFE;OTHER FOOD SERVICE
EXCELSO COFFEE;OTHER FOOD SERVICE
RAMAYANA;RAMAYANA
STREET BOBA;OTHER FOOD SERVICE
0;NO ACCOUNT CAP
CARREFOUR ALFA;CARREFOUR ALFA
MOR;MOR
OTHERS;NO ACCOUNT CAP
DEAR BUTTER;OTHER FOOD SERVICE
TOMORO COFFEE;OTHER FOOD SERVICE
FORE;OTHER FOOD SERVICE
FREE SAMPLE;NO ACCOUNT CAP
CV. RUMAH ZAIDA;OTHER FOOD SERVICE
TITIK TEMU GROUP;OTHER FOOD SERVICE
KOPI KIRI;OTHER FOOD SERVICE
LULU;LULU
SHOPEE;SHOPEE
MTI WEST;MTI B
PREMIUM SCHOOL;OTHER FOOD SERVICE
TRANSPORTER;NO ACCOUNT CAP
GENERAL TRADE - RETAIL;GENERAL TRADE
LOKA;MTI A - OTHERS
PT SURI TANI PEMUKA;OTHER FOOD SERVICE
MTI NORTH;MTI B
INTERNAL SALES;NO ACCOUNT CAP
MTI EAST;MTI B
BLISS ICE CREAM PASAR MINGGU;OTHER FOOD SERVICE
ANOMALI COFFEE TMII;OTHER FOOD SERVICE
MTI C EAST JAVA & BALNUS;MTI B
OTHER - FOOD SERVICE;OTHER FOOD SERVICE
MTI C NORTHERN SUMATRA;MTI B
OTHER - DESERT;OTHER FOOD SERVICE
OTHER - CAF├Ë;OTHER FOOD SERVICE
CHAMP RESTO;CHAMP RESTO
MTI C GREATER JAKARTA;MTI B
TOKONOW;TOKONOW
MTI C SOUTHERN SUMATRA;MTI B
MAIKU INTERMODA;OTHER FOOD SERVICE
KOPI MUST CO;OTHER FOOD SERVICE
ASIA PLAZA;MTI A - OTHERS
KAISAR;MTI A - OTHERS
MTI C EAST INDONESIA;MTI B
GOODS DINNER;OTHER FOOD SERVICE
OTHER - BEVERAGES;OTHER FOOD SERVICE
MTI C WEST JAVA & CENTRAL JAVA;MTI B
MTI OTHER JKT;MTI B
PAMELLA SUPERMARKET;MTI A - OTHERS
MTI C JABODETABEK;MTI B
KOPI CINDAY;OTHER FOOD SERVICE
GIANT;HERO
LIGO;MTI B
