btp;desc
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000172454
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000132547
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003908
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000172571
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210152517/521015 26731226200001000
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004001
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000172705
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004191
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004293
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010006247193496030 09077186
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222488742,5222488 743
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004448
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004572
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004604
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004653
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000173088
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000132881
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210179650/521017 99791226700001000
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222489706,5222489 707
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004759
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09060748
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222490099,5222490 103
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004972
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210192286/521019 25751227100001000
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222490993,5222491 488522491487
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200005159
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000173440
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210209174/521020 95981227200001000
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000173570
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200005467
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000173697
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000133267
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210165661/521016 58001227400001000
2300016117;KR OTOMATIS LLG-CITIBANK PT GOTO GOJEK TOKO 0100002466312331JA BOJABODETABEKOPSPr oject Makan
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222490994,5222492 5485222492549
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000173827
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200005699
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210223967/521022 41801227800001000
